"","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","DateTime"
"66637",0.326,0.128,243.15,1.4,0,0,0,2007-02-01 00:00:00
"66638",0.326,0.13,243.32,1.4,0,0,0,2007-02-01 00:01:00
"66639",0.324,0.132,243.51,1.4,0,0,0,2007-02-01 00:02:00
"66640",0.324,0.134,243.9,1.4,0,0,0,2007-02-01 00:03:00
"66641",0.322,0.13,243.16,1.4,0,0,0,2007-02-01 00:04:00
"66642",0.32,0.126,242.29,1.4,0,0,0,2007-02-01 00:05:00
"66643",0.32,0.126,242.46,1.4,0,0,0,2007-02-01 00:06:00
"66644",0.32,0.126,242.63,1.4,0,0,0,2007-02-01 00:07:00
"66645",0.32,0.128,242.7,1.4,0,0,0,2007-02-01 00:08:00
"66646",0.236,0,242.89,1,0,0,0,2007-02-01 00:09:00
"66647",0.226,0,243,1,0,0,0,2007-02-01 00:10:00
"66648",0.224,0,242.5,1,0,0,0,2007-02-01 00:11:00
"66649",0.224,0,242.18,1,0,0,0,2007-02-01 00:12:00
"66650",0.224,0,242.15,1,0,0,0,2007-02-01 00:13:00
"66651",0.224,0,242.73,1,0,0,0,2007-02-01 00:14:00
"66652",0.26,0,242.85,1.2,0,0,0,2007-02-01 00:15:00
"66653",0.304,0.096,242.89,1.2,0,0,0,2007-02-01 00:16:00
"66654",0.302,0.096,242.87,1.2,0,0,0,2007-02-01 00:17:00
"66655",0.302,0.094,242.19,1.2,0,0,0,2007-02-01 00:18:00
"66656",0.3,0.094,242.23,1.2,0,0,0,2007-02-01 00:19:00
"66657",0.3,0.094,242.16,1.2,0,0,0,2007-02-01 00:20:00
"66658",0.298,0.094,242.29,1.2,0,0,0,2007-02-01 00:21:00
"66659",0.298,0.094,242.47,1.2,0,0,0,2007-02-01 00:22:00
"66660",0.296,0.094,242.32,1.2,0,0,0,2007-02-01 00:23:00
"66661",0.296,0.096,242.98,1.2,0,0,0,2007-02-01 00:24:00
"66662",0.298,0.1,243.65,1.2,0,0,0,2007-02-01 00:25:00
"66663",0.228,0,243.55,1,0,0,0,2007-02-01 00:26:00
"66664",0.226,0,243.11,1,0,0,0,2007-02-01 00:27:00
"66665",0.226,0,243.09,1,0,0,0,2007-02-01 00:28:00
"66666",0.226,0,243.05,1,0,0,0,2007-02-01 00:29:00
"66667",0.226,0,243.22,1,0,0,0,2007-02-01 00:30:00
"66668",0.226,0,243.37,1,0,0,0,2007-02-01 00:31:00
"66669",0.226,0,243.14,1,0,0,0,2007-02-01 00:32:00
"66670",0.226,0,243.12,1,0,0,0,2007-02-01 00:33:00
"66671",0.322,0.094,242.74,1.4,0,0,0,2007-02-01 00:34:00
"66672",0.336,0.126,242.59,1.4,0,0,0,2007-02-01 00:35:00
"66673",0.332,0.126,242.91,1.4,0,0,0,2007-02-01 00:36:00
"66674",0.332,0.13,243.51,1.4,0,0,0,2007-02-01 00:37:00
"66675",0.33,0.13,243.65,1.4,0,0,0,2007-02-01 00:38:00
"66676",0.328,0.128,243.37,1.4,0,0,0,2007-02-01 00:39:00
"66677",0.328,0.13,243.79,1.4,0,0,0,2007-02-01 00:40:00
"66678",0.326,0.128,243.23,1.4,0,0,0,2007-02-01 00:41:00
"66679",0.324,0.126,242.98,1.4,0,0,0,2007-02-01 00:42:00
"66680",0.322,0.126,242.95,1.4,0,0,0,2007-02-01 00:43:00
"66681",0.322,0.124,242.6,1.4,0,0,0,2007-02-01 00:44:00
"66682",0.322,0.128,243.33,1.4,0,0,0,2007-02-01 00:45:00
"66683",0.318,0.118,241.32,1.4,0,0,0,2007-02-01 00:46:00
"66684",0.316,0.116,240.93,1.4,0,0,0,2007-02-01 00:47:00
"66685",0.316,0.116,240.93,1.4,0,0,0,2007-02-01 00:48:00
"66686",0.274,0.058,240.36,1.2,0,0,0,2007-02-01 00:49:00
"66687",0.222,0,240.93,1,0,0,0,2007-02-01 00:50:00
"66688",0.222,0,240.83,1,0,0,0,2007-02-01 00:51:00
"66689",0.222,0,240.52,1,0,0,0,2007-02-01 00:52:00
"66690",0.224,0,241.45,1,0,0,0,2007-02-01 00:53:00
"66691",0.224,0,241.59,1,0,0,0,2007-02-01 00:54:00
"66692",0.226,0,242.55,1,0,0,0,2007-02-01 00:55:00
"66693",0.226,0,242.88,1,0,0,0,2007-02-01 00:56:00
"66694",0.226,0,242.63,1,0,0,0,2007-02-01 00:57:00
"66695",0.224,0,242.2,1,0,0,0,2007-02-01 00:58:00
"66696",0.224,0,241.84,1,0,0,0,2007-02-01 00:59:00
"66697",0.222,0,240.89,1,0,0,0,2007-02-01 01:00:00
"66698",0.222,0,240.86,1,0,0,0,2007-02-01 01:01:00
"66699",0.26,0,240.64,1.2,0,0,0,2007-02-01 01:02:00
"66700",0.298,0.088,240.72,1.2,0,0,0,2007-02-01 01:03:00
"66701",0.302,0.094,242.18,1.2,0,0,0,2007-02-01 01:04:00
"66702",0.302,0.096,242.66,1.2,0,0,0,2007-02-01 01:05:00
"66703",0.302,0.096,242.77,1.2,0,0,0,2007-02-01 01:06:00
"66704",0.3,0.096,242.6,1.2,0,0,0,2007-02-01 01:07:00
"66705",0.298,0.094,242.38,1.2,0,0,0,2007-02-01 01:08:00
"66706",0.298,0.094,242.21,1.2,0,0,0,2007-02-01 01:09:00
"66707",0.296,0.096,242.61,1.2,0,0,0,2007-02-01 01:10:00
"66708",0.296,0.094,242.24,1.2,0,0,0,2007-02-01 01:11:00
"66709",0.258,0,242.66,1,0,0,0,2007-02-01 01:12:00
"66710",0.226,0,242.99,1,0,0,0,2007-02-01 01:13:00
"66711",0.228,0,243.53,1,0,0,0,2007-02-01 01:14:00
"66712",0.316,0.088,243.12,1.4,0,0,0,2007-02-01 01:15:00
"66713",0.434,0.252,242.83,2.2,0,0,0,2007-02-01 01:16:00
"66714",0.418,0.254,243.08,2,0,2,0,2007-02-01 01:17:00
"66715",0.414,0.254,243.35,2,0,1,0,2007-02-01 01:18:00
"66716",0.412,0.252,242.71,2,0,1,0,2007-02-01 01:19:00
"66717",0.41,0.246,241.63,2,0,2,0,2007-02-01 01:20:00
"66718",0.408,0.246,241.86,2,0,1,0,2007-02-01 01:21:00
"66719",0.408,0.248,242.17,2,0,2,0,2007-02-01 01:22:00
